Date,Close,High,Low,Open,Volume,year,month,day,lag_1,lag_2,lag_3,price_change,ma_7,ma_14,std_7
2021-07-02,968.7433471679688,970.4951632609226,952.317400936898,954.1602048328318,14086620,2021.0,7.0,2.0,954.5924682617188,960.37109375,949.97412109375,14.15087890625,960.036359514509,986.09716796875,10.990166009976502
2021-07-05,978.3668823242188,979.891168748786,969.8581385815544,972.1104477919256,11702287,2021.0,7.0,5.0,968.7433471679688,954.5924682617188,960.37109375,9.62353515625,959.8218558175223,982.8535897391183,10.544179452811587
2021-07-06,966.8095092773438,977.7752841489312,964.7164890232146,975.9780344174736,10070124,2021.0,7.0,6.0,978.3668823242188,968.7433471679688,954.5924682617188,-11.557373046875,961.1446446010044,980.0325142996652,10.789623467265422
2021-07-07,960.09814453125,968.1518891821572,954.6152867923088,968.1518891821572,10454892,2021.0,7.0,7.0,966.8095092773438,978.3668823242188,968.7433471679688,-6.71136474609375,962.7079380580357,976.6004246303013,9.475709236339997
2021-07-08,952.1581420898438,963.2377120648708,946.880007204719,963.2377120648708,11185460,2021.0,7.0,8.0,960.09814453125,966.8095092773438,978.3668823242188,-7.94000244140625,963.0199410574777,972.2761840820312,9.011114179897318
2021-07-09,942.4208984375,951.7486525291566,940.1003484340648,950.0650773140198,9037675,2021.0,7.0,9.0,952.1581420898438,960.09814453125,966.8095092773438,-9.73724365234375,960.4556274414062,966.8794206891741,11.96157254941297
2021-07-12,948.29052734375,956.207729408689,943.9223909587708,946.3111816946794,8585292,2021.0,7.0,12.0,942.4208984375,952.1581420898438,960.09814453125,5.86962890625,959.5553501674107,962.2756696428571,12.69130173096488
2021-07-13,955.3887329101562,956.9130192420056,950.087790995972,955.525214607773,6717133,2021.0,7.0,13.0,948.29052734375,942.4208984375,952.1581420898438,7.09820556640625,957.6475481305804,958.8419538225446,12.068404257691542
2021-07-14,949.1550903320312,958.6420731903104,946.9937689554592,955.6844881859736,8532544,2021.0,7.0,14.0,955.3887329101562,948.29052734375,942.4208984375,-6.233642578125,953.4744349888393,956.6481454031808,8.111773387474862
2021-07-15,947.4943237304688,953.2502049164672,945.7425076403308,953.2502049164672,9448356,2021.0,7.0,15.0,949.1550903320312,955.3887329101562,948.29052734375,-1.6607666015625,950.7151227678571,955.9298836844308,5.765502316812284
2021-07-16,961.1674194335938,962.2367066615388,949.8831264283724,949.951367281346,8828185,2021.0,7.0,16.0,947.4943237304688,949.1550903320312,955.3887329101562,13.673095703125,950.8678763253348,956.7879071916852,6.062070251737661
2021-07-19,955.0475463867188,966.4455743808566,951.9989734743656,955.52529254446,8354449,2021.0,7.0,19.0,961.1674194335938,947.4943237304688,949.1550903320312,-6.119873046875,951.2806483677456,957.1502947126116,6.259717315076473
2021-07-20,952.7041015625,959.1653183707836,948.2450375383124,955.2976750301372,6741464,2021.0,7.0,20.0,955.0475463867188,961.1674194335938,947.4943237304688,-2.34344482421875,952.7496773856027,956.6026524135044,4.890962610980115
2021-07-22,964.9439697265624,966.4000152300578,954.683470529445,964.1704530749702,7972397,2021.0,7.0,22.0,952.7041015625,955.0475463867188,961.1674194335938,12.239868164062386,955.1287405831473,957.342045375279,6.2279778190528114
2021-07-23,958.1188354492188,971.2004383163172,956.4580071605648,971.2004383163172,9937030,2021.0,7.0,23.0,964.9439697265624,952.7041015625,955.0475463867188,-6.825134277343636,955.5187552315848,956.5831516810825,6.33159455434562
2021-07-26,944.9917602539062,965.0805075916204,942.3754396207584,959.1653976108204,12389668,2021.0,7.0,26.0,958.1188354492188,964.9439697265624,952.7041015625,-13.1270751953125,954.9239937918527,954.199214390346,7.169143855424555
2021-07-27,935.0496826171876,948.1085383406383,929.1345728588084,944.9689777697636,10824523,2021.0,7.0,27.0,944.9917602539062,958.1188354492188,964.9439697265624,-9.942077636718636,953.1461879185268,951.9306553431919,10.214726567578808
2021-07-28,927.0187377929688,936.414732655119,917.4179602018662,936.414732655119,12897848,2021.0,7.0,28.0,935.0496826171876,944.9917602539062,958.1188354492188,-8.030944824218864,948.267804827009,949.5678405761719,13.402468535275997
2021-07-29,934.25341796875,943.8769425785124,929.7715466212894,934.5946824013536,13765738,2021.0,7.0,29.0,927.0187377929688,935.0496826171876,944.9917602539062,7.23468017578125,945.2972150530134,948.2889317103794,13.942885253737233
2021-07-30,926.0859985351562,940.9421040230186,924.1748936428288,936.4147387774316,11350608,2021.0,7.0,30.0,934.25341796875,927.0187377929688,935.0496826171876,-8.16741943359375,941.49462890625,947.1221531459263,15.162539022758137
2021-08-02,943.012451171875,946.1520117827724,928.7478263645152,934.7312372274596,10925104,2021.0,8.0,2.0,926.0859985351562,934.25341796875,927.0187377929688,16.92645263671875,938.361554827009,946.7451477050781,11.277814984301099
2021-08-03,949.9513549804688,951.430147484226,939.2358562430207,950.9751482931742,11817299,2021.0,8.0,3.0,943.012451171875,926.0859985351562,934.25341796875,6.93890380859375,937.1947719029018,946.3567635672433,9.1065756296319
2021-08-04,957.2315673828124,961.8954143261994,949.6100753022612,952.9771655453944,13169800,2021.0,8.0,4.0,949.9513549804688,943.012451171875,926.0859985351562,7.280212402343636,938.9433157784598,946.9336547851562,11.668023426970805
2021-08-05,971.1094360351562,980.4598768953388,957.4590392491626,962.0318984025092,21252078,2021.0,8.0,5.0,957.2315673828124,949.9513549804688,943.012451171875,13.877868652343864,944.094709123884,948.6204485212054,16.58612654968387
